address,type,free,reserved,staked,delegated,unclaimed,total,multiplier,final,participation
tgFbShs5bUXZ8bcFfHkRm5vDbUQbUR3QQNhQktuK2mCW19qCR,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgDj7AtseoEFPvVGTQowV6x1YCTfDQ5Ms7FyiJ2P273za9tik,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgH87rHmcfDM74w4PMKWof2HoMhDFvwhnx5YDgX24QWbPsUsh,substrate,535885635292273142688,0,0,0,0,535885635292273142688,1.00,535885635292273115136,-
tgDJH2vbc9sYC2fsL66jsA3kXkcugzT8oLzvPBx3EN3C9ZZC4,substrate,1735366342366771353568,0,0,0,0,1735366342366771353568,1.00,1735366342366771281920,-
tgD4XhhLStejFSb9Bg1pXshzNgUVHZ7bv7TPviVZ5bR1cPXcD,substrate,8347895082915996257260,0,7319216067194521936201,0,0,8347895082915996257260,1.00,8347895082915995844608,N
tgG1cKpTREKZSdMtdYBCHGz6ugdnVBxoHm2jfACDTHg8891BX,substrate,9034346213770190624,0,9034346213770190624,0,0,9034346213770190624,1.00,9034346213770190848,N
tgCNuuh9qC49LXNvrMqBLAe9uQoec7wjNkPg7QDtnBWjgnGoo,substrate,3167970398145647196315,0,0,0,0,3167970398145647196315,1.00,3167970398145646952448,-
tgFWB4tHMAEyaSDoHwCSQnd18G5xiYiEN2kS4YcH2cvTLR1HT,substrate,899564746129519319287,0,886223146113756866919,0,0,899564746129519319287,1.00,899564746129519280128,V
tgHMu6M2BnpSJFtNBxFxJ53rssb6PKoiNPs3SSmWxTA7SkEML,substrate,1921613696506847017659,0,0,0,0,1921613696506847017659,1.00,1921613696506847035392,-
tgGdYoDANDwJuUrLhuxq6KtBSAPX4Yy68AuCg8yVPXPWYhC6o,substrate,3098237976453391378954,0,0,0,0,3098237976453391378954,1.00,3098237976453391581184,-
tgE9QibD34W8xD31LGo2veSJYCcjViNQnWUdjcy5ch315k6cJ,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgErtoxEjAZYukuWhCjBpudF56x6Q9sXXrzyHL37zqwVRz68u,substrate,3109271587480647046258,0,0,0,0,3109271587480647046258,1.00,3109271587480647237632,-
tgF8zJweCXkD7aewA655PqJ2e5DJfyVdrUdQW6te5dHSafbWq,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgDDGtZhuEb1zZM82kmbFYjmX48L5FLioQUbZVWq9AHUGMG9a,substrate,91608215171777977181,0,28268614952045338430,0,0,91608215171777977181,1.00,91608215171777970176,N
tgGdHfjp7RYA9PYnAYsh7mcmmgheMJwJuot3B2UewXPFD6vBo,substrate,34577932747152788345,0,0,0,0,34577932747152788345,1.00,34577932747152789504,-
tgFm77e3hP9orryoiDxEVK2FEaaMZt5t8tpZCL4rGtygkXyqf,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgD9KrwxZocyxxMgnpZARUmvHmPQ9FdDCLDi663dUHk6KVEy5,substrate,1821048378192756219500,0,1821048378192756219500,0,0,1821048378192756219500,1.00,1821048378192756211712,N
tgEFFgv5n7i9sTRSonhS57Q9L9QhUDVJMRuuc5CACN6F6Nu7A,substrate,53333333340000000000,0,0,0,0,53333333340000000000,1.00,53333333340000002048,-
tgHK3u24RxuQs4Us6PBuxYoa3SnBGxg6ZmFF9GCw7TsaKgJWn,substrate,1640918631973462841446,0,0,0,0,1640918631973462841446,1.00,1640918631973462736896,-
